Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR950179_1_val_1	(1.0, 30.29913132637954)	(2.0, 18.56712190590195)	(3.0, 9.264002663313997)	(4.0, 4.4398240778971)	(5.0, 2.2239197327631097)	(6.0, 1.3789368663502324)	(7.0, 1.0203654935602373)	(8.0, 0.7748421196442314)	(9.0, 0.5859634114402567)	('>10', 6.204301524616822)	('>50', 2.0716504182351705)	('>100', 5.013613087064452)	('>500', 2.280263159861438)	('>1k', 5.6796002132453065)	('>5k', 2.535934862819562)	('>10k+', 7.660529136906597)
ERR950179_2_val_2	(1.0, 33.84254483604359)	(2.0, 19.116362167526315)	(3.0, 9.105281759986093)	(4.0, 3.936449665470685)	(5.0, 1.9640322822430407)	(6.0, 1.1152980325737547)	(7.0, 0.8129849599603066)	(8.0, 0.5654749338852971)	(9.0, 0.41487491659863074)	('>10', 5.314426121887867)	('>50', 2.0825147931522596)	('>100', 5.2255386221885916)	('>500', 2.408312645630105)	('>1k', 5.90812497616054)	('>5k', 2.2147568827270407)	('>10k+', 5.973022403965995)
ERR950180_1_val_1	(1.0, 39.89773756924201)	(2.0, 11.387527773363235)	(3.0, 3.988096933744008)	(4.0, 2.0262053214917493)	(5.0, 1.255638827398923)	(6.0, 0.8956779596906251)	(7.0, 0.713652354455171)	(8.0, 0.5883056995956993)	(9.0, 0.4683883747730482)	('>10', 5.6135914063785375)	('>50', 2.1400601087571305)	('>100', 5.528463894475463)	('>500', 2.7780658965666603)	('>1k', 6.860299578968157)	('>5k', 3.4249896225590626)	('>10k+', 12.433298678540588)
ERR950180_2_val_2	(1.0, 41.86124756109258)	(2.0, 11.346904076207482)	(3.0, 3.7257847176387817)	(4.0, 1.8062065491034025)	(5.0, 1.1288736912262651)	(6.0, 0.8403470537382505)	(7.0, 0.6447268121541428)	(8.0, 0.5022872989938387)	(9.0, 0.43015690518227506)	('>10', 5.399127862274597)	('>50', 2.3153875499368928)	('>100', 6.056322828424466)	('>500', 2.8391605815820524)	('>1k', 7.280533868130358)	('>5k', 2.9713474901936086)	('>10k+', 10.851585154121016)
ERR950181_1_val_1	(1.0, 67.48110438199232)	(2.0, 8.579673240580323)	(3.0, 2.821277877399341)	(4.0, 1.6572068841375152)	(5.0, 1.1853524728807554)	(6.0, 0.8741189331939878)	(7.0, 0.7127271845540964)	(8.0, 0.5788556872619721)	(9.0, 0.45940281057275406)	('>10', 6.148890623015434)	('>50', 1.7414386394676158)	('>100', 2.425562973282551)	('>500', 0.9482007573523228)	('>1k', 2.314281361688132)	('>5k', 0.6771462631911509)	('>10k+', 1.3947599094296)
ERR950181_2_val_2	(1.0, 36.28973958243253)	(2.0, 10.554537897695223)	(3.0, 3.615874515794357)	(4.0, 1.7903575008960997)	(5.0, 1.1641984550707725)	(6.0, 0.8547973133537081)	(7.0, 0.6927779780652595)	(8.0, 0.5619433643771304)	(9.0, 0.46750044060173307)	('>10', 5.998265766555695)	('>50', 2.446495555099974)	('>100', 6.56225335401956)	('>500', 3.2074226901082685)	('>1k', 8.716058220364932)	('>5k', 3.7004366935859525)	('>10k+', 13.377340671978988)
ERR950182_1_val_1	(1.0, 26.368848800540533)	(2.0, 15.620922493739139)	(3.0, 7.747856427433954)	(4.0, 3.7062980420210465)	(5.0, 1.9675989250617858)	(6.0, 1.1738000333117697)	(7.0, 0.8314133459851402)	(8.0, 0.6176954351601651)	(9.0, 0.5359678584308047)	('>10', 5.901362653285854)	('>50', 2.24238751734905)	('>100', 5.786177233344012)	('>500', 3.035470880360586)	('>1k', 7.93640716612621)	('>5k', 3.615797052268552)	('>10k+', 12.911996135581342)
ERR950182_2_val_2	(1.0, 28.105393045800554)	(2.0, 15.531430450600697)	(3.0, 7.583098274807021)	(4.0, 3.513070535090259)	(5.0, 1.8070061597818925)	(6.0, 1.126479434236233)	(7.0, 0.7529511472358168)	(8.0, 0.5534943326849182)	(9.0, 0.45908098947530834)	('>10', 5.401615220936075)	('>50', 2.2776281316501668)	('>100', 6.227996856326138)	('>500', 2.9929215894472443)	('>1k', 8.315195276821418)	('>5k', 3.305920113066928)	('>10k+', 12.046718442039431)
ERR950183_1_val_1	(1.0, 42.461948617124115)	(2.0, 11.938029250925602)	(3.0, 4.257766307196918)	(4.0, 2.300746615206641)	(5.0, 1.5018710059481388)	(6.0, 1.067112674676559)	(7.0, 0.8555068199238418)	(8.0, 0.6874182541289284)	(9.0, 0.5384604250251587)	('>10', 6.695758844393127)	('>50', 2.133741685916445)	('>100', 5.0275904328221594)	('>500', 2.2022031410865717)	('>1k', 5.68333919217525)	('>5k', 3.7339987977498943)	('>10k+', 8.914507935700785)
ERR950183_2_val_2	(1.0, 44.90349237323408)	(2.0, 11.686689895355192)	(3.0, 3.9701984412497193)	(4.0, 2.0250962500169716)	(5.0, 1.3433188324329772)	(6.0, 0.9847998010329493)	(7.0, 0.7296682300181432)	(8.0, 0.6075740551472213)	(9.0, 0.506664742228314)	('>10', 6.114121256668074)	('>50', 2.186639801142954)	('>100', 5.309603784371605)	('>500', 2.470614154238488)	('>1k', 6.114881791898714)	('>5k', 2.428064336711874)	('>10k+', 8.618572254252612)
